Chemical name,Brand name (from Health Canada),Strength,Dosage form,DIN/NPN,Manufacturer
enema,ENEMOL (SODIUM PHOSPHATE ENEMA); LAX-A NEMA; LAX-A NEMA PEDIATRIC,16.0 g - 6.0 g,enema/liquid,02096900,Pendopharm Inc.
enema,FLEET® ENEMA,160 g/L - 60 g/L,enema/solution,00009911,C.B. Fleet Company Inc.
enema ped,FLEET® ENEMA PEDIATRIC,1.6 g/L - 0.6 g/L,enema/solution,00108065,C.B. Fleet Company Inc.
epinephrine,"EPIPEN 0.3MG/0.3ML AUTO 
INJECTOR",0.3 mg/0.3 mL,autoinjector,00509558,Mylan Specialty LP
epinephrine,EPIPEN JR 0.15MG/0.3ML AUTO INJECTOR,0.15 mg/0.3 mL,autoinjector,00578657,Mylan Specialty LP
epinephrine,ALLERJECT 0.3MG/0.3ML AUTO INJECTOR,0.3 mg/0.3 mL,autoinjector,02382067,Kaleo Inc
epinephrine,ALLERJECT 0.15MG/0.3ML AUTO INJECTOR,0.15 mg/0.3 mL,autoinjector,02382059,Kaleo Inc
epinephrine,EMERADE 0.5MG/0.5ML AUTO INJECTOR,0.5 mg/0.5 mL,autoinjector,02458454,"Bausch Health, Canada Inc."
epinephrine,EMERADE 0.3MG/0.3ML AUTO INJECTOR,0.3 mg/0.3 mL,autoinjector,02458446,"Bausch Health, Canada Inc."
ferrous fumarate 300 mg,JAMP-FER,300 mg,capsule,80024232,"Jamp Pharma 
Corporation"
ferrous fumarate 300(100) mg,EURO-FER; SANDOZ FER,300 mg,capsule,02237556,Sandoz Canada Inc.
ferrous fumarate 300(100) mg,FERROUS FUMARATE,300 mg,tablet,00031089,"Wampole, Division of Jamp Pharma Corp."
ferrous fumarate 300(100)/5,PALAFER®,60 mg/mL,suspension,01923439,"Bausch Health, Canada Inc."
ferrous gluconate 300(35) mg,NOVO-FERROGLUC 300 MG TAB; FERROUS GLUCONATE; FERROGLUC,300 mg,tablet,80000435,Nutricorp International
ferrous gluconate 300(35) mg,WAMPOLE FERROUS GLUCONATE TABLETS 300 MG,300 mg,tablet,80009681,"Wampole, Division of Jamp Pharma Corp."
ferrous gluconate 300(35) mg,JAMP-FERROUS GLUCONATE,300 mg,tablet,00031097,Jamp Pharma Corp.
ferrous gluconate 300(35) mg,APO-FERROUS GLUCONATE,300 mg,tablet,00545031,AA Pharma Inc.
ferrous sulfate 150(30)/5 sl,PEDIAFER,30 mg/mL,solution,02242863,Sandoz Canada
ferrous sulfate 150(30)/5 sl,FERODAN SYRUP,30 mg/mL,solution,00758469,Odan Laboratories Ltd.
ferrous sulfate 300(60) mg,JAMP-FERROUS SULFATE,300 mg,tablet,00031100,Jamp Pharma Corp.
ferrous sulfate 75(15) mg/mL,PEDIAFER,15 mg/mL,solution,02232202,Sandoz Canada
ferrous sulfate 75(15) mg/mL,FERODAN INFANT DROPS,15 mg/mL,solution,02237385,Odan Laboratories Ltd.
ferrous sulphate 150(30)/5 mL,JAMP FERROUS SULPHATE LIQUID 150MG/5 ML,30 mg/mL,liquid,80008295,"Jamp Pharma 
Corporation"
ferrous sulphate 75(15) mg/mL,JAMP FERROUS SULPHATE INFANT DROP 75MG/ML,15 mg/ml,drops,80008309,"Jamp Pharma 
Corporation"
fexofenadine,ALLEGRA 24 HOUR,120 mg,tablet,02242819,Sanofi Consumer Health Inc.
fexofenadine,ALLEGRA 12 HOUR,60 mg,tablet,02231462,Sanofi Consumer Health Inc.
fluoride (sodium),Fluor A Day Drops 5.56mg/Ml,2.5 mg/mL,drops,00610100,Pharmascience Inc.
folic acid,FOLIC ACID,1 mg,tablet,00318973,Jamieson Laboratories Ltd.
folic acid,FOLIC ACID TAB 1MG USP,1 mg,tablet,00647039,Vita Health Products Inc.
folic acid,"FOLIC ACID TABLETS USP 1 MG; ACIBION 1 MG; BEST FOLIC; FOLIC ACID, FOLIC ACID 1 MG; FOLIC ACID 1 MG TABLETS USP; FOLIC ACID TABLETS USP",1 mg,tablet,02048841,Pharmetics
folic acid,WAMPOLE FOLIC ACID; FOLIC ACID,1 mg,tablet,02236747,"Wampole, Division of Jamp Pharma Corp."
folic acid,FOLIC ACID,1 mg,tablet,80000273,WN Pharmaceuticals Ltd
folic acid,JAMP - FOLIC ACID,1 mg,tablet,80053274,JAMP Pharma Corp.
glucagon,Baqsimi,3 mg,powder,02492415,"Amphastar 
Pharmaceuticals Inc."
glycerin suppository,GLYCERIN SUPPOSITORIES,90%,supp rect,02020394,"Rougier Pharma, a 
division of Teva Canada Ltd."
